nom;Eau;Proteines;Glucides ;Lipides ;Sucres ;FibresAlimentaires;AG_satures ;Sel
Fève, bouillie/cuite à l'eau;77,9;8,06;9,35;0,8;0,4;3,1;0,16;0,025
Haricot blanc, bouilli/cuit à l'eau;66,9;6,75;12;1,1;0,3;13,8;0,25;0,023
Haricot rouge, bouilli/cuit à l'eau;65;9,63;12,3;0,6;0,5;11,6;0,19;0,021
Lentille, bouillie/cuite à l'eau;69,6;9,02;12,2;0,38;1,8;7,9;0,053;0,005
Pois cassé, bouilli/cuit à l'eau;64,9;8,6;16,3;1,49;3,85;7,95;0,16;0,011
Pois chiche, bouilli/cuit à l'eau;62;8,31;17,7;3;0,3;8,2;0,46;0,027
Haricot flageolet, appertisé, égouttés;72;6,1;12,2;0,79;0,2;6,3;0,11;0,73
Lentille, cuisinée, appertisée, égouttée;73,5;6,28;11,8;0,64;0,42;4;0,11;0,59
Haricot blanc, appertisé, égoutté;70,1;6,57;10,9;0,4;0,52;7;0,11;0,69
Haricot flageolet, bouilli/cuit à l'eau;66,9;6,75;12;1,1;0,3;13,8;0,25;0,023
Haricot rouge, appertisé, égoutté;68,9;8,31;13;0,97;1;7;0,41;0,68
Haricot mungo, bouilli/cuit à l'eau;72,5;7,54;11,9;0,55;2,01;6,4;0,038;0,018
Pois chiche, appertisé, égoutté;72,1;6,74;15;2,68;0,5;5,45;0,3;0,54
Haricot flageolet, vert, bouilli/cuit à l'eau;63;5,63;15,8;1,1;0,5;16,5;0,19;0,071
Fève, pelée, surgelée, cuite à l'eau;80,7;6,4;9;0,5;< 0,2;2,9;0,11;0,018
Fève, surgelée, bouillie/cuite à l'eau;80,5;5,6;7,4;< 0,5;1;5,8;< 0,01;0,02
Lentille verte, bouillie/cuite à l'eau;64,8;10,1;16,2;0,58;0,2;8,45;0,093;0,015
Lentille blonde, bouillie/cuite à l'eau;66,4;9,7;16,3;0,7;0,4;6;0,13;< 0,13
Lentille corail, bouillie/cuite à l'eau;65,1;10,6;15;0,5;0,26;8,2;0,09;< 0,13
Légume sec, cuit (aliment moyen);69,1;8,38;12,1;0,62;1,31;9,34;0,12;0,012
Fève à écosser, fraîche;76,8;6,76;4,2;0,67;0,37;5,85;0,13;0,094
Lentille, germée;67,3;8,86;19;0,58;-;3,1;0,061;0,028
Lupin, graine crue;10,4;36,2;21,5;9,74;-;18,9;1,16;0,038
Fève, fraîche, surgelée;75,8;7,5;7,95;0,22;2,15;3,6;0,1;0,022
Haricot flageolet, surgelé;55,1;9,32;25,6;0,7;0,4;4,4;0,1;0,78
Fève, pelée, surgelée, crue;-;14,9;14,9;0,3;2;6,5;0;0,038
Haricot blanc, sec;10,6;19,1;43,9;1,78;1,92;16,8;0,22;0,028
Lentille, sèche;8,96;25,4;50,6;1,34;1,25;7,63;0,13;0,21
Pois cassé, sec;8,33;22,8;52;1,44;2,75;15,8;0,23;0,051
Pois chiche, sec;8,99;20,5;47,5;5,85;6,5;13,3;0,55;0,08
Fève, sèche;11;26,1;33,3;1,53;5,7;25;0,25;0,033
Haricot rouge, sec;11,8;22,5;46,1;1,06;2,1;15,2;0,15;0,03
Haricot mungo, sec;9,52;24,5;47,6;1,42;-;16,7;0,24;0,066
Lentille corail, sèche;8,8;27,7;44,9;0,8;1,29;15,4;0,14;< 0,13
Haricot flageolet, vert, sec;8,5;19,1;42,1;2,6;-;23,4;0,35;0,02
Lentille verte, sèche;9,5;25,1;44,5;1,8;1,1;16,4;0,24;< 0,13
Lentille blonde, sèche;8,8;26,1;48,3;1,9;1,4;12,1;0,32;< 0,13
Abricot, dénoyauté, cru;87,1;0,81;9,01;< 0,5;6,7;1,7;< 0,01;< 0,013
Ananas, pulpe, cru;85,5;< 0,5;11,7;< 0,5;10,5;1,2;< 0,01;< 0,013
Banane, pulpe, crue;75,8;1,06;19,7;< 0,5;15,6;2,7;< 0,01;< 0,013
Cassis, cru;80,5;1,33;9,68;0,86;9,68;5,8;0,14;0,0063
Cerise, dénoyautée, crue;85,7;0,81;13;< 0,3;10;1,6;< 0,01;< 0,013
Citron, pulpe, cru;91,3;< 0,5;1,56;< 0,5;0,8;< 0,5;< 0,01;< 0,013
Coing, cru;83,8;0,51;13,4;0,1;6,3;1,9;0,0085;0,01
Figue, crue;80,2;1,19;13,5;< 0,5;12,2;4,1;< 0,01;0,013
Fraise, crue;90,3;0,63;6,03;< 0,5;5,6;3,8;< 0,01;< 0,013
Framboise, crue;86,8;1,19;5,83;0,8;5,4;4,3;0,13;< 0,013
Fruit de la passion ou maracudja, pulpe et pépins, cru;73,6;2,13;10,9;3;8,5;6,8;0,54;< 0,013
Grenade, pulpe et pépins, crue;79,4;1,44;14,3;1,2;13,3;2,3;0,07;< 0,013
Groseille, crue;82,1;1,56;7,06;0,7;6,63;4,6;0,21;< 0,013
Groseille à maquereau, crue;87,9;0,75;4,88;0,59;-;4,03;0,058;0,0038
Kiwi, pulpe et graines, cru;83,5;0,88;11;0,6;8,9;2,4;0,13;< 0,013
Litchi, pulpe, cru;80,5;1,13;16,1;< 0,5;15,7;2;< 0,01;< 0,013
Clémentine ou Mandarine, pulpe, crue;87;0,81;9,17;< 0,5;8,6;1,7;< 0,01;< 0,013
Mangue, pulpe, crue;81,1;0,63;14,3;< 0,5;12,9;1,6;< 0,01;< 0,013
Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru;84,2;1,13;14,8;< 0,5;10,6;1,3;< 0,01;0,06
Mirabelle, crue;78,1;0,63;18;< 0,5;13,3;2,2;< 0,01;< 0,013
Myrtille, crue;84,2;0,87;10,6;0,33;9,96;2,4;0,028;0,0025
Mûre (de ronce), crue;86,1;1,13;6,53;0,7;6,1;5,2;0,07;< 0,013
Nectarine ou brugnon, pulpe et peau, crue;87,6;1,16;8,9;0,31;7,89;1,7;0,025;0,0027
Orange, pulpe, crue;87,3;0,75;8,03;< 0,5;7,6;2,7;< 0,01;< 0,013
Papaye, pulpe, crue;88,8;0,75;8,53;< 0,3;8,1;1,8;< 0,01;< 0,013
Pastèque, pulpe, crue;91;0,69;8,33;< 0,5;7,9;0,5;< 0,01;< 0,013
Poire, pulpe et peau, crue;83,5;0,49;10,9;0,27;9,01;2,9;0,067;0,0045
Pomme, pulpe et peau, crue;85,4;0,25;11,6;0,25;9,35;1,4;0,052;0,0037
Pomelo (dit Pamplemousse), pulpe, cru;89,3;< 0,5;8,02;< 0,5;6,6;0,8;< 0,01;< 0,013
Prune Reine-Claude, crue;80,1;0,94;16,4;< 0,5;10,4;1,7;< 0,01;< 0,013
Pêche, pulpe et peau, crue;88,6;1,08;9;0,33;8,16;1,6;0,027;0,0075
Raisin blanc, à gros grain (type Italia ou Dattier), cru;80,9;0,75;16,6;< 0,5;15,5;1;< 0,01;< 0,013
Raisin noir, cru;84;0,63;15,6;0,4;15;1,4;0,13;0,0075
Rhubarbe, tige, crue;92;0,78;1,47;0,23;1,47;2,47;0,053;0,0093
Pomme, pulpe, crue;86,7;0,27;10,7;0,13;10,1;1,3;0,021;0
Carambole, pulpe, crue;91,4;1,15;3,9;0,32;3,9;2,8;0,019;0,005
Anone ou chérimole, pulpe, crue;79,4;1,72;15,4;0,64;12,9;2,65;0,23;0,018
Feijoa, pulpe, crue;83,3;0,71;8,2;0,42;8,2;6,4;0,1;0,0075
Figue de Barbarie, pulpe et graines, crue;88,4;0,37;6;0,31;1,02;4,45;0,01;0,011
Kaki, pulpe, cru;81,8;0,88;14,3;< 0,3;13,9;3,4;< 0,01;< 0,013
Citron vert ou Lime, pulpe, cru;86,3;1,13;3,14;< 0,3;2,1;4,3;< 0,01;0,015
Mûre noire (du mûrier), crue;87,7;1,44;8,1;0,39;8,1;1,7;0,027;0,025
Ramboutan, pulpe, crue;78;0,65;20;0,21;-;0,9;-;0,028
Tamarin, fruit mûr, pulpe, cru;31,4;2,65;57,4;0,6;38,8;5,1;0,24;0,07
Goyave, pulpe, crue;83,5;1,59;9,02;0,73;8,92;5,15;0,21;0,005
Pomme Canada, pulpe, crue;84,4;0,4;11,6;0,1;11;1,6;-;0,0092
Pomme Golden, pulpe, crue;85,5;< 0,5;11,7;< 0,5;11,3;2,5;< 0,01;< 0,013
Prune, crue;87;0,66;9,92;0,29;9,92;1,5;0,038;0,0075
Raisin Chasselas, cru;79,4;0,75;16,9;0,5;16,5;2;0,12;< 0,013
Poire, pulpe, crue;85,1;0,3;10,4;0,1;10,4;2,47;-;0,0075
Griotte, crue;86,1;1,1;10,5;0,3;8,49;1,65;0,084;0,0063
Raisin, cru;80,5;0,72;15,7;0,16;15,5;0,9;0,054;0,005
Canneberge ou cranberry, crue;86,8;0,75;7,6;0,13;4,04;5,13;0,011;0,02
Pomme Granny Smith, pulpe, crue;85,3;< 0,5;11,4;< 0,5;10,6;2,6;< 0,01;< 0,013
Pomme Granny Smith, pulpe et peau, crue;85,8;< 0,5;10,7;< 0,5;10,1;2,8;< 0,01;< 0,013
Citron, zeste, cru;81,6;1,38;5,4;0,3;4,17;10,6;0,042;0,015
Sureau, baie, crue;79,8;0,64;11,4;0,5;-;7;0,028;0,018
Myrtille, surgelée, crue;84,3;0,68;8,9;0,43;8,9;2,81;0,032;0,0026
Salade de fruits, crue;78;0,5;11,4;0,15;11,2;1,23;0;0,0037
Framboise, surgelée, crue;85,9;1,16;6,43;0,8;6,03;6,05;0,062;0,0053
Nectarine ou brugnon, jaune, pulpe et peau, crue;86,6;0,69;11,3;< 0,5;8,8;0,6;< 0,01;< 0,013
Nectarine ou brugnon, blanche, pulpe et peau, crue;86,5;0,81;11,4;< 0,5;8,9;< 0,5;< 0,01;< 0,013
Mûre (de ronce), surgelée, crue;82,2;1,22;10,7;0,42;-;5;0,015;0,0025
Pomelo (dit Pamplemousse) jaune, pulpe, cru;90,5;0,69;7,31;0,1;7,31;1,1;0,014;0
Pomelo (dit Pamplemousse) rose, pulpe, cru;88,1;0,77;6,2;0,14;6,2;1,6;0,021;0
Poire Conférence, pulpe, crue;85,3;< 0,5;11,4;< 0,5;9,4;3,1;< 0,01;< 0,013
Poire Williams, pulpe, crue;84,7;< 0,5;11,5;< 0,5;9,4;3,1;< 0,01;< 0,013
Pomme Chantecler, pulpe, crue;86,4;< 0,5;11,2;< 0,5;10,8;1,9;< 0,01;< 0,013
Pomme Gala, pulpe, crue;85,5;< 0,5;11,9;< 0,5;11,1;1,9;< 0,01;< 0,013
Pomme Pink lady, pulpe, crue;83,6;< 0,5;12,8;< 0,5;12,3;2,9;< 0,01;< 0,013
Pêche blanche, pulpe et peau, crue;87,6;0,69;9,48;< 0,5;8,7;2,1;< 0,01;< 0,013
Pêche blanche, pulpe, crue;87,6;0,63;9,63;< 0,5;7,8;1,1;< 0,01;< 0,013
Pêche jaune, pulpe, crue;87,8;0,69;9,8;< 0,5;7,6;1;< 0,01;< 0,013
Dourian, pulpe, cru;65;1,47;23,3;5,33;-;3,8;-;0,005
Kumquat, sans pépin, cru;81,9;1,57;9,6;1,18;9,36;5,45;0,17;0,02
Longan, pulpe, cru;82,8;1,31;14;0,1;-;1,1;-;0
Pamplemousse chinois, pulpe, cru;89,1;0,76;8,62;0,04;-;1;-;0,0025
Pomme Golden, pulpe et peau, crue;85,1;< 0,5;12,8;< 0,5;11,5;1,4;< 0,01;< 0,013
Raisin noir Muscat, cru;76,7;0,69;20;< 0,5;19,6;2,7;< 0,01;< 0,013
Melon miel ou melon honeydew, pulpe, cru;91,9;0,58;4,3;0,17;4,3;0,75;0,044;0,06
Fruits rouges, crus (framboises, fraises, groseilles, cassis);84,5;1,11;7,88;0,31;7,4;5,3;0;0,008
Fruit cru (aliment moyen);84,5;0,7;11,6;0,26;9,89;1,97;0,023;0,0088
Compote de pomme;72,9;0,23;24,4;0,21;20,7;1,53;0,017;traces
Rhubarbe, tige, cuite, sucrée;67,8;0,39;29,2;0,05;28,7;2;0,014;0,0025
Compote, tout type de fruits;73,1;< 0,5;23,9;0,092;23,1;2;0,068;< 0,013
Compote, tout type de fruits, allégée en sucres;82,9;< 0,5;15,3;0,08;14,6;1,6;0,037;< 0,013
Chayote ou christophine ou chouchou, crue;94,2;0,72;2,8;0,12;1,66;1,7;0,028;0,005
Compote, tout type de fruits, allégée en sucres, rayon frais;83,9;0,32;14,9;0,48;14,3;1,4;0,14;0,011
Compote de pomme, allégée en sucres;82,9;< 0,5;15,1;0,08;14,3;1,3;0,064;< 0,013
Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée);79,4;0,32;19,5;0,2;16,6;1,61;0,028;0,0049
"Purée de fruits, tout type de fruits, type ""compote sans sucres ajoutés""";84,2;< 0,5;13,4;< 0,3;11,3;1,7;< 0,01;< 0,013
Spécialité de fruits divers, sucrée (mélange pulpes et/ou purées de fruits, mais toujours avec autre ingrédient);-;0,41;16,9;0,56;15,8;1,53;0,12;0,0084
Pomme, pulpe, rôtie/cuite au four;75,6;< 0,5;21;< 0,5;17,5;3;-;< 0,01
Pomme, pulpe, bouillie/cuite à l'eau;85,5;0,26;11,2;0,36;11;2,4;0,058;0,0025
Compote ou assimilé, tout type de fruits, teneur en sucre (allégée en sucres ou non, sans sucres ajoutés...) inconnue (aliment moyen);78,9;0,25;18,6;0,15;16,7;1,68;0,03;0,0048
"Purée de pommes, type ""compote sans sucres ajoutés""";85,1;1,13;11,7;< 0,3;11,7;1,7;-;< 0,013
Coulis de fruits rouges (framboises, fraises, groseilles, cassis);-;0,8;25,1;0,54;25,1;3,46;< 0,051;0,014
Abricot au sirop (sans précision sur léger ou classique), appertisé, égoutté (aliment moyen);81;0,5;16,2;0,25;15,3;1,4;;0,03
Macédoine ou cocktail ou salade de fruits, au sirop (sans précision sur léger ou classique), appertisé, égouttée (aliment moyen);81,6;0,25;16,2;0,25;13,2;2,02;;0,022
Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté;80,4;< 0,5;17,4;< 0,5;13,8;2,1;-;0,032
Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté;79,9;< 0,5;18,3;< 0,5;14,3;1,26;-;0,003
Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté;83,5;< 0,5;14,4;< 0,5;12,2;1,9;-;0,0083
Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté;84;< 0,5;14,5;0,061;12,3;1,18;0,009;0,0026
Abricot au sirop léger, appertisé, égoutté;83;0,94;13,7;< 0,5;13,3;1,4;-;0,024
Abricot au sirop léger, appertisé, non égoutté;83,5;0,81;14;0,043;14;0,83;0,003;0,025
Abricot au sirop, appertisé, égoutté;81;0,5;16,2;< 0,5;15,3;1,4;-;0,03
Abricot au sirop, appertisé, non égoutté;81,4;0,29;16,6;< 0,5;15,1;0,81;-;0,03
Ananas au jus d'ananas, égoutté, appertisé;84,5;< 0,5;13,6;< 0,5;12,8;1,4;-;-
Ananas au jus d'ananas, appertisé, non égoutté;84,9;< 0,5;13,6;< 0,5;12,6;0,92;-;0,00049
Ananas au sirop léger, appertisé, égoutté;82;< 0,5;15,9;< 0,5;15,9;1,6;-;0,0048
Ananas au sirop léger, appertisé, non égoutté;82,4;< 0,5;16;0,078;15,7;1,01;0,009;0,0047
Pêche au sirop léger, appertisée, égouttée;83,9;0,5;13,8;< 0,5;13,1;1,5;-;0,033
Pêche au sirop léger, appertisée, non égouttée;84,3;0,31;14,1;0,038;12,9;0,92;0,003;0,0022
Poire au sirop léger, appertisée, égouttée;82,3;< 0,5;13,9;0,4;11,5;2,6;-;< 0,013
Poire au sirop léger, appertisée, non égouttée;83,7;0,3;14,5;0,12;12,1;1,23;0,002;0,013
Abricot, dénoyauté, sec;24,7;2,88;59,1;0,5;34,3;8,3;0,19;< 0,013
Datte, pulpe et peau, sèche;22,9;1,81;64,7;0,25;64,7;7,3;0,075;0,098
Figue, sèche;30,1;2,99;54,3;0,87;49,2;9,72;0,35;0,22
Pruneau, sec;34,9;1,63;55,4;0,4;38,1;5,1;0,16;< 0,013
Raisin, sec;16;3;73,2;0,9;70,3;4,2;0,31;0,013
Mélange apéritif de fruits exotiques, sec;11,7;2,19;69,5;10,5;59,4;3,4;9,16;0,22
Banane, pulpe, sèche;3;3,89;78,4;1,81;47,3;9,9;0,7;0,0075
Pomme, sèche;31,8;0,78;57,2;0,31;54,6;8,7;0,058;0,22
Pêche, sèche;7,5;5;68,9;1;-;14,3;0,092;0,2
Canneberge ou cranberry, séchée, sucrée;14,6;< 0,5;76,4;1;72,8;5,7;0,2;< 0,013
Abricot, dénoyauté, sec, moelleux (réhydraté à 35-45%);39,3;2,31;51,1;0,4;29,9;3,5;0,16;< 0,013
Abricot pays, pulpe, au sirop, appertisé, non égoutté, prélevé à la Martinique;84,5;0,28;13,3;0,1;7,3;1,8;-;-
Abricot pays, pulpe, cru, prélevé à la Martinique;85,4;0,48;10,8;0,05;3,7;3,1;-;-
Ananas, pulpe, cru , prélevé à la Martinique;83,4;0,56;-;0;-;-;-;-
Caïmite, pulpe, cru, prélevé à la Martinique;80,3;0,31;-;2,87;-;-;-;-
Cerise acérola, pulpe, crue, prélevée à la Martinique;93,1;0,56;-;0,097;-;-;-;-
Chadèque, pulpe, cru, prélevé à la Martinique;90,6;0,48;-;0,3;-;-;-;-
Chips d'abricot pays, pulpe, prélevé à la Martinique;5,13;0,96;68,7;18,7;33,3;6,2;-;-
Goyave, pulpe, purée, prélevée à la Martinique;88,5;0,83;-;0,0067;-;-;-;-
Jus de carambole, prélevé à la Martinique, jus filtré;91,6;4,52;-;0,15;-;-;-;-
Jus de carambole, prélevée à la Martinique, jus non filtré;90,4;0,063;-;0,03;-;-;-;-
Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique;92;0,48;-;0,14;-;-;-;-
Jus de citron vert (variété gros calibre), pur jus, prélevé à la Martinique;91,4;0,69;-;0,46;-;-;-;-
Jus de corossol, prélevé à la Martinique;84;0,65;-;0,43;-;-;-;-
Jus de fruit de la passion ou maracudja, prélevé à la Martinique, pur jus;84,4;1,08;-;0,37;-;-;-;-
Jus de grenade, prélevée à la Martinique;87;0,69;-;0;-;-;-;-
Jus de lime, pur jus, prélevé à la Martinique;92,4;0,35;-;0,57;-;-;-;-
Jus de mandarine commune, pur jus filtré pasteurisé, prélevée à la Martinique;-;-;-;-;9,4;< 0,5;-;-
Jus de mandarine commune, pur jus filtré, prélevée à la Martinique;90;0,61;8,63;0,57;8,63;< 0,5;-;-
Jus de mandarine macaque, pur jus filtré, prélevée à la Martinique;88,2;0,6;10,8;0;3,87;< 0,5;-;-
Jus de moubin, pur jus, prélevé à la Martinique;85,5;0,88;-;0,19;-;-;-;-
Jus de pamplemousse (variété locale), pur jus, prélevé à la Martinique;92,3;0,42;-;0,19;-;-;-;-
"Jus de prune de cythère verte ""géante"" (variété locale), fruit mûr, pur jus filtré, prélevée à la Martinique";91,1;0,29;7,13;0,19;4,34;1;-;-
"Jus de prune de cythère verte ""géante"" (variété locale), fruit vert, pur jus filtré, prélevée à la Martinique";91,7;0,44;6,55;0,28;0,03;0,8;-;-
"Jus de prune de cythère verte ""naine"" (variété hybride), fruit mûr, pur jus filtré, prélevée à la Martinique";87,8;0,69;9,97;0,21;6,14;0,9;-;-
"Jus de prune de cythère verte ""naine"" (variété hybride), fruit vert, pur jus filtré, prélevée à la Martinique";91,6;0,67;6,34;0,26;0,19;0,8;-;-
Mandarine commune, pulpe, au sirop, appertisée, non égouttée, prélevée à la Martinique;-;-;-;-;17,4;0,7;-;-
Mango bassignac, pulpe, cru, prélevé à la Martinique;77,3;0,32;18,5;traces;-;3,2;-;-
Mango moussache, pulpe, cru, prélevé à la Martinique;75,5;1,28;20,9;traces;-;2;-;-
Mangue julie, pulpe, crue, prélevée à la Martinique;77,8;0,71;18,3;traces;-;2,8;-;-
Mangue verte, pulpe, crue, prélevée à la Martinique;82,1;1,31;12,2;traces;-;3,4;-;-
Melon, pulpe, cru, prélevé à la Martinique;87;1,08;-;0,047;-;-;-;-
Orange (variété locale), pulpe, prélevée à la Martinique;90,2;0,6;-;0,67;-;-;-;-
Orange amère, pulpe, crue, prélevée à la Martinique;91,6;0,73;-;0,43;-;-;-;-
Pastèque, pulpe, crue, prélevée à la Martinique;91,5;0,77;-;0,26;-;-;-;-
Pomme cajou, pulpe, crue, prélevée à la Martinique;88,5;0,79;-;0,11;-;-;-;-
Pomme cannelle,  pulpe, crue, prélevée à la Martinique;67,2;1,48;-;0,57;-;-;-;-
Pomme d'eau ou pomme malaca, pulpe, crue, prélevée à la Martinique;91,1;0,44;-;0,023;-;-;-;-
Pomme liane, pulpe, crue, prélevée à la Martinique;82,6;0,88;-;0,22;-;-;-;-
Prune de cythère, mûre, fruit entier, crue, prélevée à la Martinique;86,5;0,54;-;0,03;-;-;-;-
Prune de cythère, verte ou immature, fruit entier, crue, prélevée à la Martinique;89,6;0,6;-;0,07;-;-;-;-
Jacques, pulpe, cru, prélevé à la Martinique;69,9;1,98;-;0,21;-;-;-;-
Mangue José, pulpe, crue, prélevée à La Réunion (Mangifera indica L.);77,1;0,75;19,3;0,5;18,4;1,8;0,18;< 0,013
Ananas Victoria ou ananas Queen Victoria, pulpe crue, prélevé à La Réunion Ananas comosus (L.) merr var. Queen);81,3;0,94;15,1;< 0,3;14,9;2,4;< 0,01;< 0,013
Papaye Colombo (fruit mûr), pulpe sans pépin, crue, prélevée à La Réunion (Carica papaya L.);88,6;0,56;7,88;< 0,3;7,7;2,2;< 0,01;< 0,013
Farine de châtaigne;5,52;6,1;70,4;3,43;-;12,6;0,52;-
Amande (avec peau);4,8;22,6;9,51;51,3;4,2;12,5;4,11;< 0,013
Cacahuète ou Arachide;2,2;26,1;14,8;49,1;5,9;8,6;8,4;0,022
Cacahuète, grillée, salée;1,22;26,2;15;50;4,22;8,04;8,64;1,33
Noisette;7,3;17;7,16;56,9;4,9;11,6;4,75;< 0,013
Noix, séchée, cerneaux;4;15,7;6,88;67,3;3;6,7;6,45;< 0,13
Noix de coco, amande mûre, fraîche;47;3,93;6,22;33,5;6,22;9;29,7;0,05
Noix de coco, amande, sèche;2,65;7,8;8,55;66,3;6,64;14;57,7;0,064
Noix du Brésil;3,01;16,9;6,17;66,1;2,33;6,4;16;0,0075
Pistache, grillée, salée;2,09;22,3;15,9;49,5;7,57;9,32;6,58;1,67
Sésame, graine;3,48;20,8;9,85;49,7;0,3;14,9;7,09;< 0,1
Tournesol, graine;3,38;25,1;10,1;55,5;2,62;6,4;6,23;0,014
Crème de marrons;33,3;1,51;55;0,67;-;1,3;-;-
Noix de coco, amande immature, fraîche;47;3,93;6,22;33,5;6,22;9;29,7;0,05
Crème de marrons vanillée, appertisée;34,6;1,13;59,8;0,7;43;3,2;0;< 0,01
Mélange apéritif de graines salées et raisins secs;5,3;19,6;27,1;39,6;21,6;8,4;4,98;0,42
Noix de cajou, grillée, salée;1,51;18;26,7;49,5;8,01;3,85;10,5;1,15
Châtaigne, bouillie/cuite à l'eau;68,2;2,36;23;1,38;-;4,5;0,26;0,068
Châtaigne, grillée;40,5;3,74;47,9;2,2;10,6;5,1;0,41;0,005
Noix, fraîche;41,9;12,9;9,94;31,8;1,3;3,9;2,93;< 0,013
Châtaigne, crue;51;2,13;36,5;2,23;7,86;7,45;0,37;0,0081
Pignon de pin;2,45;16,2;6,31;65;5,21;10;5,53;0,023
Noix de pécan;2,57;11,3;5,43;72,6;3,64;8,33;6,62;0,0025
Noix de macadamia;1,36;9,33;5,22;75,8;4,24;8,6;11,8;0,013
Cucurbitacées, graine;5,23;35,6;4,71;49,1;1,4;6;8,66;0,018
Luzerne, graine germée;92,8;3,87;0,91;0,7;0,2;1,9;0,069;0,015
Luzerne, graine;7,4;35;39,3;12,6;-;7,9;-;-
Noisette grillée;2,52;17;5,21;66;4,26;9,4;4,51;-
Lin, graine;5,93;23,9;6,6;36,6;1,55;27,3;3,17;0,051
Sésame, graine décortiquée;3,58;24,9;4,5;56,1;0,48;11,9;8,1;0,073
Cacahuète, grillée à sec, salée;2;24,8;18,2;47,7;3,7;7,4;7;1,8
Sésame, grillé, graine décortiquée;5;20;9,14;48;0,48;16,9;6,72;0,098
Châtaigne ou Marron, appertisé;62,7;2,31;28,8;1,4;3,9;4;0,4;0,13
Amande, mondée, émondée ou blanchie;4,51;25,8;8,76;52,5;4,63;9,9;3,95;0,048
Amande, grillée, salée;2,41;24,1;8,72;53,9;4,86;10,9;4,09;1,25
Noix de macadamia, grillée, salée;1,61;8,3;9,95;70,2;4,4;9,5;11;0,9
Pistache, grillée;2,43;21,7;18,6;47,4;7,74;10,1;5,52;0,015
Tournesol, graine, grillé, salé;1,2;22,8;15,1;49,8;2,73;9;5,22;1,64
Noix de pécan, salées;-;12;5;73;4,9;3;7,1;1
Chia, graine, séchée;5,8;19,5;7,72;30,7;-;34,4;3,33;0,04
Mélange apéritif de graines (non salées) et fruits séchés;25,6;9,78;32,2;26,3;7;6,36;5,07;0,3
Mélange apéritif de graines (non salées) et raisins secs;6,1;14,8;31,8;37,2;29,4;9,6;4,96;0,018
Noisette grillée, salée;-;15,8;7,67;61,2;2,91;9,43;6,43;0,83
Lin, brun, graine;5,8;21,3;3,56;42,2;1,4;26,9;4,61;0,095
Cacahuète, grillée, sans sel ajouté;1,81;26,8;11,3;51,9;2,54;8,67;7,93;0,018
Noix de cajou, grillée, non salée;1,7;20,5;21,3;48,1;6,64;8,4;8,24;0,015
Noix de cajou, grillée à sec, non salée;1,3;20,5;23,5;49;6,63;5,7;8,87;0,02
Pâte d'amande, préemballée;6,6;7;70,3;13,5;60,1;2,8;1,05;0,018
Beurre de cacahuète ou Pâte d'arachide;1,23;25,4;16,1;52,5;10,5;5;10,4;0,97
Tahin ou Purée de sésame;3,03;20,3;13,8;53,4;0,49;7;7,48;0,19
Arachide, bouillie/cuite à l'eau, salée;41,8;15,5;9,54;22;2,47;8,8;3,06;1,88
Soja, graine entière;7,77;37,8;20,8;19,2;7,33;13;2,72;0,0075
Blé dur précuit, grains entiers, cuit, non salé;61,9;5,94;27,4;0,9;traces;3,8;0,23;< 0,013
Nouilles asiatiques cuites, aromatisées;67,5;5,12;18,8;4,3;2;6,3;0,5;1,2
Pâtes ou nouilles asiatiques au blé, cuites, nature, non salées;66,9;3,75;21,4;6,9;-;1;3,16;0,23
Riz complet, cuit, non salé;60,4;3,38;32,6;1;< 0,2;2,3;0,17;< 0,01
Riz blanc, cuit, non salé;63,9;3,06;31,8;0,41;< 0,2;0,8;0,076;< 0,01
Riz blanc étuvé, cuit, non salé;63,5;3,1;31,7;0,56;0,11;1,1;0,33;0,0059
Riz rouge, cuit, non salé;63,1;3,63;28,2;0,69;-;4;-;0,0088
Riz sauvage, cuit, non salé;73,9;3,99;19,7;0,34;0,73;1,8;0,049;0,0075
Riz thaï, cuit, non salé;64,7;3,06;30,5;0,7;traces;1,1;0,3;< 0,013
Riz basmati, cuit, non salé;71,1;2,88;24,4;0,6;traces;1;0,3;< 0,013
Flocons d'avoine, bouillis/cuits à l'eau;-;2,72;11,9;1,52;0,27;1,7;0,31;0,01
Orge perlée, bouilli/cuite à l'eau, non salée;68,8;2,42;24,4;0,44;0,28;3,8;0,093;0,0075
Mil, cuit, non salé;71,4;3,76;22,4;1;0,13;1,3;0,17;0,005
Quinoa, bouilli/cuit à l'eau, non salé;61,6;5;27,9;1,1;0,87;3,8;0,14;0,015
Polenta ou semoule de maïs, cuite, non salée;79,9;1,38;16,9;< 0,3;0,1;1,6;< 0,01;< 0,01
Graine de couscous (semoule de blé dur précuite), cuite, non salée;60,6;5;31;1;1,6;2,3;0,25;< 0,013
Boulgour de blé, cuit, non salé;71,5;4;21,7;0,5;traces;2,2;0,11;0,018
